calibration_item,official_value,library_value,unit,deviation_pct,notes,source_ids,assumption_ids
Electricity generation (2024 national baseline activity),283920.0,283920.0,GWh,0.0,Library baseline uses official national generation activity directly; electricity states are intensity states rather than demand states.,"[""S003""]","[""A001"", ""A011"", ""A012""]"
Electricity renewable share (2024 national blend used for baseline illustration),36.0,36.0,%,0.0,"Calibration blend uses 64% incumbent thermal mix + 36% policy-frontier supply, matching official 2024 renewable share.","[""S003""]","[""A011"", ""A012""]"
Electricity direct emissions (illustrative national 2025 blend),151.7,137.190144,MtCO2e,-9.56,Library blend is below the 2023 electricity sector inventory because the 2024 baseline uses a stronger renewable share and a national reduced-form blend rather than a one-year sector-inventory total.,"[""S003"", ""S006""]","[""A001"", ""A011"", ""A012""]"
Residential final energy — electricity,252.0,252.2784,PJ,0.11,Incumbent residential state is normalised to reproduce official 2023–24 fuel split exactly when service demand is set to official residential final energy.,"[""S001"", ""S002""]","[""A004"", ""A005""]"
Residential final energy — natural_gas,140.0,139.9954,PJ,-0.0,Incumbent residential state is normalised to reproduce official 2023–24 fuel split exactly when service demand is set to official residential final energy.,"[""S001"", ""S002""]","[""A004"", ""A005""]"
Residential final energy — refined_liquid_fuels,15.0,14.8118,PJ,-1.25,Incumbent residential state is normalised to reproduce official 2023–24 fuel split exactly when service demand is set to official residential final energy.,"[""S001"", ""S002""]","[""A004"", ""A005""]"
Residential final energy — biomass,70.0,69.7588,PJ,-0.34,Incumbent residential state is normalised to reproduce official 2023–24 fuel split exactly when service demand is set to official residential final energy.,"[""S001"", ""S002""]","[""A004"", ""A005""]"
Commercial final energy — electricity,231.0,231.2512,PJ,0.11,Incumbent commercial state is normalised to reproduce official 2023–24 fuel split exactly when service demand is set to official commercial final energy.,"[""S001"", ""S002""]","[""A004"", ""A005""]"
Commercial final energy — natural_gas,50.0,49.9578,PJ,-0.08,Incumbent commercial state is normalised to reproduce official 2023–24 fuel split exactly when service demand is set to official commercial final energy.,"[""S001"", ""S002""]","[""A004"", ""A005""]"
Commercial final energy — refined_liquid_fuels,33.0,32.991,PJ,-0.03,Incumbent commercial state is normalised to reproduce official 2023–24 fuel split exactly when service demand is set to official commercial final energy.,"[""S001"", ""S002""]","[""A004"", ""A005""]"
Buildings direct on-site emissions (residential + commercial),,13.0864582,MtCO2e,,Not compared directly to the official 'built environment' sector because library coefficients exclude electricity scope 2 emissions and some non-building activities.,"[""S006""]","[""A003"", ""A004"", ""A005""]"
Passenger road service activity (cars + buses),293.41473027,293.41473027,billion pkm,0.0,Official BITRE passenger road activity benchmark used directly.,"[""S012""]","[""A006"", ""A007""]"
Freight road service activity,249.0,249.0,billion tkm,0.0,Official BITRE road freight task used directly.,"[""S013""]","[""A008""]"
Road transport final energy (passenger ICE + freight diesel baseline states),1263.0,1261.5917094912002,PJ,-0.11,Passenger-road and freight-road incumbent states jointly reproduce official road-energy demand.,"[""S001"", ""S012"", ""S013""]","[""A006"", ""A007"", ""A008""]"
Road freight direct emissions (diesel baseline state),36.0,35.109,MtCO2e,-2.47,Compared with Australian road-freight decarbonisation evidence (~36 MtCO2 annually).,"[""S016""]","[""A008""]"
Agriculture final energy,110.9,110.99999999410001,PJ,0.09,Livestock and cropping bundles exactly reproduce official agriculture fuel totals by construction.,"[""S001"", ""S002"", ""S027"", ""S028"", ""S029""]","[""A018"", ""A019""]"
Agriculture direct + process emissions,82.2,82.19999998,MtCO2e,-0.0,Livestock and cropping bundles reproduce official agriculture emissions by construction at a coarse-bundle level.,"[""S006""]","[""A018"", ""A019""]"
Cement thermal energy at 9.6 Mt cement-equivalent output,21.0,23.04,PJ,9.71,Conventional cement state is close to current Australian industry thermal use; remaining difference is acceptable at Phase 1 granularity.,"[""S025""]","[""A016"", ""A017""]"
Cement electricity use at 9.6 Mt cement-equivalent output,0.88,0.96,TWh,9.09,Conventional cement state is close to current Australian electricity use for cement manufacturing.,"[""S025""]","[""A016"", ""A017""]"
Steel crude output used for order-of-magnitude check,5.7,5.7,Mt crude steel,0.0,Indicative current Australian crude steel scale from industry context.,"[""S033""]","[""A014""]"
Conventional steel direct emissions at 5.7 Mt output,,11.4,MtCO2e,,Order-of-magnitude check only. No authoritative Australian plant-level route inventory was assembled in Phase 1.,"[""S022"", ""S024"", ""S033""]","[""A014"", ""A015""]"
Illustrative generic industrial heat fossil-energy coverage (low+medium+high heat states with 120/140/170 PJ useful heat),749.0,630.574,PJ,-15.81,"Shows that generic industrial heat + cement + steel can be tuned into the vicinity of official manufacturing final energy, while leaving a residual for omitted non-heat industrial uses.","[""S002"", ""S025"", ""S033""]","[""A013"", ""A014"", ""A016""]"
