role_id,baseline_year,activity_value,activity_unit,baseline_direct_gross_emissions_mtco2e,baseline_direct_net_emissions_mtco2e,emissions_importance_band,metric_basis,notes
serve_residential_building_occupants,2025,477000000,GJ_service_eq,8.222049,8.222049,medium,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
provide_residential_water_heating,2025,119250000,GJ_hot_water_service,3.237041,3.237041,low,linked_parent_activity_anchor,Derived from the v1 water-heating activity coefficient and incumbent mixed-fuel pathway emissions intensity.
serve_commercial_building_occupants,2025,314000000,GJ_service_eq,4.847532,4.847532,low,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_remaining_residential_building_services,2025,1,residual_activity,0.006,0.006,very_low,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_remaining_commercial_building_services,2025,1,residual_activity,0.001,0.001,very_low,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
move_passengers_by_road,2025,293414730000,pkm,51.934407,51.934407,very_high,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
move_freight_by_road,2025,249000000000,tkm,35.109,35.109,high,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_transport,2025,1,residual_activity,11.657,11.657,medium,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
deliver_low_temperature_heat,2025,120000000,GJ_useful_heat,6.80196,6.80196,medium,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
deliver_medium_temperature_heat,2025,140000000,GJ_useful_heat,6.30966,6.30966,medium,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
deliver_high_temperature_heat,2025,170000000,GJ_useful_heat,6.23662,6.23662,medium,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
make_crude_steel,2025,5700000,t_crude_steel,11.4,11.4,medium,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
make_non_h2_dri_crude_steel,2025,0,t_crude_steel,,,unknown,linked_parent_activity_unresolved,Linked parent activity needs an active decomposition allocation before emissions are meaningful.
make_direct_reduced_iron,2025,0,t_dri,,,unknown,linked_parent_activity_unresolved,Linked parent activity needs an active decomposition allocation before emissions are meaningful.
melt_and_refine_dri_into_crude_steel,2025,0,t_crude_steel,,,unknown,linked_parent_activity_unresolved,Linked parent activity needs an active decomposition allocation before emissions are meaningful.
make_cement_equivalent,2025,9600000,t_cement_equivalent,7.134835,7.134835,medium,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_manufacturing,2025,1,residual_activity,9.452,9.452,medium,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_ippu,2025,1,residual_activity,22.0692,22.0692,high,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
supply_grid_electricity,2025,283920000,MWh,149.799883,149.799883,very_high,electricity_output_benchmark,Uses the 2025 electricity output benchmark with incumbent grid-supply intensity.
account_grid_losses_and_own_use,2025,1,residual_activity,0,0,zero,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_mining_energy,2025,1,residual_activity,31.046,31.046,high,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_fugitives,2025,1,residual_activity,46.3,46.3,high,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
produce_livestock_output,2025,31134.94,A$m_output_2024,61.719262,61.719262,very_high,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
produce_cropping_horticulture_output,2025,36576.29,A$m_output_2024,20.480729,20.480729,high,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_agriculture,2025,1,residual_activity,4.565564,4.565564,low,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_construction,2025,1,residual_activity,2.859,2.859,low,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_water_waste,2025,1,residual_activity,0.084,0.084,very_low,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_waste_emissions,2025,1,residual_activity,13.8,13.8,medium,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_other_sectors,2025,1,residual_activity,2.064,2.064,low,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
remove_co2_land_sequestration,2025,0,tCO2_removed,0,0,zero,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
remove_co2_engineered_removals,2025,0,tCO2_removed,0,0,zero,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
account_residual_lulucf_sink,2025,1,residual_activity,0,-73.7,sink,incumbent_activity_anchor,Derived from 2025 incumbent method emissions intensity and baseline activity anchor.
